Name,Num_ingredients,Description
Martini,2,"A classic cocktail made with gin and vermouth, typically garnished with an olive or lemon twist."
Mojito,5,"A refreshing cocktail with white rum, mint leaves, lime juice, sugar, and soda water."
Margarita,3,"Made with tequila, lime juice, and orange liqueur, usually served in a salt-rimmed glass."
Old Fashioned,4,"A simple cocktail featuring bourbon, sugar, bitters, and a twist of citrus rind."
Daiquiri,3,"A cocktail made from rum, lime juice, and simple syrup, often served shaken and strained."
Negroni,3,"A bitter and aromatic cocktail with equal parts gin, Campari, and sweet vermouth."
Piña Colada,4,"A tropical delight made with rum, coconut cream, pineapple juice, and often blended with ice."
Cosmopolitan,4,"A pink-hued cocktail containing vodka, cranberry juice, orange liqueur, and lime juice."
Margarita,3,"Made with tequila, lime juice, and orange liqueur, usually served with a salted rim."
Moscow Mule,3,"A cocktail featuring vodka, ginger beer, and lime juice, typically served in a copper mug."
Mai Tai,5,"A Tiki cocktail made with white and dark rums, orange curaçao, orgeat syrup, and lime juice."
Espresso Martini,4,"A cocktail combining vodka, coffee liqueur, freshly brewed espresso, and simple syrup."
Bloody Mary,6,"A savory cocktail featuring vodka, tomato juice, and various spices and flavorings, often served spicy."
Sex on the Beach,4,"A fruity cocktail made with vodka, peach schnapps, orange juice, and cranberry juice."
Long Island Iced Tea,5,"Despite the name, it's not tea. This cocktail blends vodka, rum, gin, tequila, triple sec, and sour mix."
Manhattan,3,"A whiskey-based cocktail made with rye or bourbon, sweet vermouth, and bitters, often garnished with a cherry."
